"ncid","race_code","ethnic_code","party_cd","gender_code","birth_age","drivers_lic","register_dt","2008 GENERAL","2010 GENERAL","2012 GENERAL","2014 GENERAL","2016 GENERAL"
"AG3653","W","NL","DEM","F",55,"N",1984,0,0,0,0,0
"BR211769","W","NL","REP","F",32,"Y",2016,0,0,0,0,1
"DR134412","W","NL","DEM","M",62,"Y",2016,0,0,0,0,0
"EL52704","W","NL","UNA","F",33,"Y",2008,1,0,1,1,1
"ER11225","W","NL","UNA","M",45,"N",1990,1,0,1,1,1
"DW55304","W","NL","UNA","F",59,"Y",2007,0,1,0,0,1
"DB232239","W","NL","REP","M",58,"N",2010,0,0,0,0,0
"CB55644","W","NL","REP","F",72,"Y",2007,1,1,0,0,0
"AA183359","U","UN","UNA","U",22,"N",2014,0,0,0,0,0
"AA66916","W","UN","DEM","F",91,"Y",2007,1,0,1,1,1
"BY256956","W","NL","DEM","M",73,"Y",1994,1,1,1,1,1
"DH46007","B","NL","DEM","F",28,"Y",2007,0,0,1,1,1
"BE198245","W","NL","REP","F",69,"Y",2002,1,1,1,1,1
"CW627153","W","NL","UNA","M",54,"Y",2016,0,0,0,0,0
"CW930988","B","UN","DEM","F",36,"Y",2011,1,0,1,1,0
"BZ49827","W","UN","DEM","M",30,"N",2008,0,0,0,0,0
"BJ22073","W","NL","REP","F",35,"Y",2016,1,0,1,0,1
"BE286229","U","UN","DEM","F",28,"Y",2008,1,1,1,1,0
"CW851478","B","UN","UNA","M",28,"N",2008,1,0,1,0,0
"CJ76452","W","NL","DEM","F",58,"N",2000,1,1,1,1,1
"EH887394","B","HL","DEM","F",23,"Y",2011,0,0,1,0,1
"CA64169","W","NL","UNA","F",31,"N",2003,0,0,1,0,1
"DZ15220","W","NL","UNA","F",67,"Y",1970,1,1,1,1,1
"AA126661","W","NL","DEM","F",58,"Y",2015,1,0,0,0,0
"CA30336","B","UN","DEM","F",48,"Y",1994,0,0,0,0,1
"BY386853","W","NL","REP","M",50,"Y",2004,1,1,1,0,0
"EH1029921","W","HL","DEM","F",49,"Y",2014,0,0,0,0,1
"CZ85679","W","NL","UNA","M",62,"Y",2010,0,1,1,1,1
"CW565668","W","NL","REP","F",40,"Y",2002,1,0,1,1,1
"BY324454","W","NL","DEM","F",58,"Y",2000,1,1,1,1,1
"AL83831","W","NL","UNA","F",46,"Y",1993,1,0,0,0,1
"CT38517","W","NL","REP","M",51,"N",2004,1,1,1,1,1
"BW51565","W","NL","REP","F",67,"Y",2009,0,0,0,0,0
"AL78366","W","NL","DEM","M",52,"Y",1992,1,0,1,1,1
